id_local,nom_lieu,ad_lieu,com_lieu,insee,date_maj,ouvert,source,Xlong,Ylat,num_dep,categorie_Aire de covoiturage
bfc_air_001,Arc-sur-Tille,,ARC-SUR-TILLE,210210,2020-10-27,FALSE,200053726.0,5.16143471346255,47.346,21,TRUE
bfc_air_002,Choisey,,CHOISEY,39150.0,2020-10-27,TRUE,200053726.0,5.43975135340732,47.068,39,TRUE
bfc_air_003,Soirans,,TRECLUN,21643.0,2020-10-27,FALSE,200053726.0,5.30236952882848,47.204,21,TRUE
bfc_air_004,Auxerre Sud,,VENOY,89438.0,2020-10-27,FALSE,200053726.0,3.65013711777753,47.799,89,TRUE
bfc_air_005,Macon Nord,,MACON,712700,2020-10-27,TRUE,200053726.0,4.83609199066022,46.369,71,TRUE
bfc_air_006,Macon-Sud,,MACON,712700,2020-10-27,TRUE,200053726.0,4.78946093805178,46.286,71,TRUE
bfc_air_007,Dole,,AUTHUME,39030.0,2020-10-27,FALSE,200053726.0,5.50908338964281,47.138,39,TRUE
bfc_air_008,Le Miroir,,LE MIROIR,71300.0,2020-10-27,TRUE,200053726.0,5.33119889343988,46.547,71,TRUE
bfc_air_009,Beaune Nord,,BEAUNE,21054.0,2020-10-27,FALSE,200053726.0,4.84904169573158,47.041,21,TRUE
bfc_air_010,Auxerre Nord,,MONETEAU,89263.0,2020-10-27,FALSE,200053726.0,3.54953896880623,47.855,89,TRUE
bfc_air_011,Besançon Ouest,,VAUX-LES-PRES,25593.0,2020-10-27,FALSE,200053726.0,5.89613718374463,47.236,25,TRUE
bfc_air_012,Beaume-les-Dames,,AUTECHAUX,25032.0,2020-10-27,FALSE,200053726.0,6.37961391599231,47.375,25,TRUE
bfc_air_013,Chalon-Nord,,CHAMPFORGEUIL,71081.0,2020-10-27,FALSE,200053726.0,4.8265647703338,46.804,71,TRUE
bfc_air_014,Avallon,,SAUVIGNY-LE-BOIS,89378.0,2020-10-27,TRUE,200053726.0,3.99390226877228,47.513,89,TRUE
bfc_air_015,Beaurepair-en-Bresse,,BEAUREPAIRE-EN-BRESSE,71027.0,2020-10-27,TRUE,200053726.0,5.4230993022654,46.666,71,TRUE
bfc_air_016,Joigny,,SEPEAUX,89388.0,2020-10-27,TRUE,200053726.0,3.24293491391387,47.938,89,TRUE
bfc_air_017,Saint-Denis-Les-Sens,,SAINT-DENIS-LES-SENS,89342.0,2020-10-27,FALSE,200053726.0,3.25986542065713,48.24,89,TRUE
bfc_air_018,Villeneuve-la-Dondagre,,VILLENEUVE-LA-DONDAGRE,89459.0,2020-10-27,TRUE,200053726.0,3.16571006268886,48.148,89,TRUE
bfc_air_019,Beaune Sud,,LEVERNOIS,21347.0,2020-10-27,FALSE,200053726.0,4.85890541655761,47.001,21,TRUE
bfc_air_020,Courtenay,,SAVIGNY-SUR-CLAIRIS,89380.0,2020-10-27,TRUE,200053726.0,3.09582442640685,48.056,89,TRUE
bfc_air_021,Crimolois,,CHEVIGNY-SAINT-SAUVEUR,211710,2020-10-27,FALSE,200053726.0,5.13137432363536,47.28,21,TRUE
bfc_air_022,Besançon Est,,ECOLE-VALENTIN,25212.0,2020-10-27,FALSE,200053726.0,5.98143663213823,47.277,25,TRUE
bfc_air_023,Besançon Nord,,CHAUDEFONTAINE,25137.0,2020-10-27,FALSE,200053726.0,6.15087410852869,47.335,25,TRUE
bfc_air_024,Tournus,,TOURNUS,71543.0,2020-10-27,FALSE,200053726.0,4.9000874613276,46.581,71,TRUE
bfc_air_025,Seurre,,CHAMBLANC,21131.0,2020-10-27,FALSE,200053726.0,5.17042490242868,47.033,21,TRUE
bfc_air_026,BERMONT,,BERMONT,90011.0,2020-10-27,TRUE,200053726.0,6.85537555791757,47.581,90,TRUE
bfc_air_027,VALDAHANS,,VALDAHANS,25578.0,2020-10-27,TRUE,200053726.0,6.33602656937267,47.145,25,TRUE
bfc_air_028,AVOUDREY,,AVOUDREY,250390,2020-10-27,FALSE,200053726.0,6.44088667274349,47.14,25,TRUE
bfc_air_029,Aire de covoiturage de Perrigny Les Dijon,Rue de Domois 21160 Perrigny-lès-Dijon,PERRIGNY-LES-DIJON,21481.0,2020-10-27,TRUE,200053726.0,5.0103693687988,47.266,21,TRUE
bfc_air_030,Espace Pourny,2 Rue Louis Pergaud 25300 Pontarlier,PONTARLIER,25462.0,2020-10-27,TRUE,200053726.0,6.34569147325353,46.902,25,TRUE
bfc_air_031,Maison du Bazois,Bois de Seigne,ALLUY,58004.0,2020-10-27,TRUE,200053726.0,3.6348368108531,47.043,58,TRUE
bfc_air_032,Aire de covoiturage de Velars-Sur-Ouche,30 Clos de l'Eglise 21370 Velars-sur-Ouche,VELARS-SUR-OUCHE,21661.0,2020-10-27,TRUE,200053726.0,4.90770433957267,47.318,21,TRUE
bfc_air_033,Stade,1 Rue du Stade 25560 Frasne,FRASNE,25259.0,2020-10-27,TRUE,200053726.0,6.15953828676894,46.854,25,TRUE
bfc_air_034,Botanic,vers A77,VARENNES-VAUZELLES,58303.0,2020-10-27,TRUE,200053726.0,3.14278342404059,47.033,58,TRUE
bfc_air_035,COURBAN,,COURBAN,21202.0,2020-10-27,FALSE,200053726.0,4.74766478442702,47.915,21,TRUE
bfc_air_036,Aire de repos l'échangeur D461/D351,D461 25390 Orchamps-Vennes,ORCHAMPS-VENNES,25432.0,2020-10-27,TRUE,200053726.0,6.52766829265301,47.145,25,TRUE
bfc_air_037,Intermarché,ZAC de la Badelle,SAINT-BENIN-D'AZY,58232.0,2020-10-27,TRUE,200053726.0,3.39905704808662,47.005,58,TRUE
bfc_air_038,Douane,71T Grande Rue 25240 Mouthe,MOUTHE,25413.0,2020-10-27,TRUE,200053726.0,6.18971321926444,46.705,25,TRUE
bfc_air_039,Aire de covoiturage de Saulieu,22 Rue d'Argentine 21210 Saulieu,SAULIEU,21584.0,2020-10-27,TRUE,200053726.0,4.23086407186687,47.281,21,TRUE
bfc_air_040,Parking Salle Polyvalente,Boulevard Misset 58500 Clamecy,CLAMECY,58079.0,2020-10-27,TRUE,200053726.0,3.51653802268852,47.456,58,TRUE
bfc_air_041,Aire de covoiturage de Mirebeau-Sur-Bèze,70 Grande Rue 21310 Mirebeau-sur-Bèze,MIREBEAU-SUR-BEZE,21416.0,2020-10-27,TRUE,200053726.0,5.31352290986641,47.401,21,TRUE
bfc_air_042,Parking Salle Polyvalente,Avenue de la Charité,VARZY,58304.0,2020-10-27,TRUE,200053726.0,3.38571063016712,47.355,58,TRUE
bfc_air_043,CHANCEAUX,62 Grande Rue 21440 Chanceaux,CHANCEAUX,21142.0,2020-10-27,TRUE,200053726.0,4.71472981701117,47.522,21,TRUE
